Key,HoldTime,FlightTime,DigraphLatency
c,0.1015,0.223,0.2263
a,0.1085,0.2196,0.2127
p,0.0551,0.0757,0.1291
i,0.0653,0.2397,0.2295
n,0.0759,0.1939,0.1832
g,0.1166,0.1413,0.1006
w,0.0929,1.1763,1.2
i,0.067,0.1436,0.1695
t,0.1215,0.2317,0.1772
h,0.0694,0.0563,0.1084
n,0.0646,0.4075,0.4122
i,0.0887,0.2489,0.2248
k,0.0787,0.3571,0.3671
o,0.0756,0.2503,0.2535
l,0.0862,0.1814,0.1708
a,0.143,0.3107,0.2539
i,0.0558,0.0758,0.163
",",0.069,0.5823,0.5692
t,0.084,0.4271,0.4121
h,0.0729,0.0938,0.1049
e,0.129,0.2094,0.1533
i,0.0615,0.2037,0.2711
r,0.0864,0.1845,0.1596
h,0.0591,0.7371,0.7644
e,0.1283,0.2691,0.1999
l,0.086,0.0982,0.1404
i,0.0581,0.3333,0.3611
c,0.1035,0.7179,0.6725
o,0.0667,0.1513,0.1881
p,0.0643,0.2056,0.208
t,0.0218,0.3676,0.4101
e,0.1089,0.429,0.3419
r,0.0546,0.0616,0.1159
i,0.0734,1.4631,1.4443
s,0.0903,0.1485,0.1316
s,0.1076,0.587,0.5697
h,0.0782,0.182,0.2114
o,0.0737,0.4659,0.4704
t,0.1489,0.3382,0.263
d,0.094,0.6622,0.7171
o,0.0651,0.0859,0.1148
e,0.1087,0.188,0.1444
n,0.0704,0.115,0.1533
a,0.1248,0.3838,0.3294
n,0.0624,0.1068,0.1692
d,0.1134,0.1741,0.1231
t,0.0913,0.3065,0.3286
h,0.0753,0.1229,0.139
e,0.1256,0.1623,0.112
y,0.0699,0.0787,0.1344
f,0.0821,1.3456,1.3335
l,0.0526,0.1197,0.1491
e,0.0723,0.109,0.0894
e,0.0977,0.1697,0.1443
f,0.0894,0.2905,0.2987
r,0.0708,0.1976,0.2162
o,0.0704,0.1401,0.1405
m,0.061,0.2006,0.21
u,0.0629,0.4691,0.4673
l,0.0888,0.2552,0.2294
t,0.0648,0.4145,0.4385
r,0.06,0.17,0.1747
a,0.1445,0.2188,0.1343
n,0.0642,0.396,0.4763
a,0.1449,0.2371,0.1564
t,0.0607,0.1655,0.2497
i,0.0434,0.3683,0.3857
o,0.0915,0.2133,0.1651
n,0.0653,0.1807,0.2069
a,0.1115,0.1665,0.1204
l,0.0628,0.0693,0.118
o,0.053,0.2047,0.2145
s,0.1986,0.9271,0.7815
t,0.0622,0.1313,0.2677
s,0.1174,1.2782,1.223
e,0.0796,0.1917,0.2295
a,0.0937,0.198,0.1839
r,0.0605,0.0502,0.0834
c,0.118,0.3018,0.2442
h,0.0624,0.0971,0.1528
t,0.0658,0.5158,0.5123
e,0.109,0.1204,0.0772
a,0.0975,0.2362,0.2477
m,0.0761,0.1854,0.2068
s,0.101,0.2098,0.1849
.,0.0601,1.0457,1.0866
l,0.0842,0.4513,0.4272
a,0.1173,0.1628,0.1296
t,0.0797,0.1674,0.205
e,0.1038,0.1406,0.1164
r,0.0678,0.1049,0.1409
o,0.0656,0.9825,0.9847
n,0.07,0.2172,0.2128
t,0.1194,0.4103,0.3609
h,0.0774,0.1101,0.152
e,0.1516,0.1925,0.1183
p,0.0708,1.0973,1.1781
l,0.0941,0.1886,0.1653
a,0.1186,0.1379,0.1134
y,0.0692,0.1341,0.1834
e,0.105,0.1244,0.0886
r,0.0644,0.1033,0.1439
t,0.064,0.4516,0.452
a,0.1137,0.1717,0.1221
k,0.0682,0.1479,0.1934
e,0.0923,0.1418,0.1177
s,0.1108,0.3741,0.3557
c,0.0995,0.5492,0.5605
o,0.0629,0.1167,0.1532
n,0.0758,0.2323,0.2195
t,0.0811,0.2671,0.2618
r,0.0918,0.2007,0.1899
o,0.0724,0.1397,0.1592
l,0.0772,0.1812,0.1763
