Key,HoldTime,FlightTime,DigraphLatency
t,0.1067,0.4629,0.4342
h,0.1019,0.0898,0.0946
e,0.0787,0.1463,0.1695
m,0.1717,0.541,0.448
i,0.1532,0.0936,0.1121
d,0.0972,0.2604,0.3165
d,0.0788,0.1728,0.1912
l,0.0995,0.2732,0.2524
e,0.0862,0.2354,0.2487
e,0.1149,0.7377,0.709
a,0.1248,0.1744,0.1644
s,0.1142,0.5907,0.6013
t,0.0918,0.2566,0.2789
i,0.1033,1.6608,1.6493
n,0.1024,0.2595,0.2604
s,0.1514,1.4427,1.3937
t,0.0914,0.6127,0.6727
e,0.1012,0.1867,0.1769
a,0.0943,0.278,0.2849
d,0.0781,0.1727,0.189
o,0.1149,0.6612,0.6244
f,0.0701,0.1959,0.2407
r,26.1776,1.0309,0.1178
u,0.0738,0.6607,0.6798
s,0.0948,0.2988,0.2778
s,0.0838,0.1998,0.2107
i,0.1013,0.2327,0.2152
a,0.0923,0.1837,0.1927
.,0.0769,1.6542,1.6697
n,0.0929,0.0,0.2762
a,0.1671,0.7263,0.6522
c,0.1132,0.2142,0.2681
t,0.1172,0.235,0.2311
1,0.0892,1.2133,1.2413
m,0.1135,1.6735,1.6492
a,0.1773,0.1563,0.0926
v,0.0711,0.3841,0.4903
t,0.1054,0.5759,0.5417
a,0.145,0.1642,0.1246
v,0.1,0.3844,0.4293
i,0.115,0.3748,0.3598
s,0.1151,0.242,0.2418
h,0.083,0.9397,0.9718
c,0.0958,1.2859,1.2731
a,0.18,0.161,0.0768
p,0.0982,0.3942,0.476
t,0.1272,0.4767,0.4478
a,0.1481,0.4431,0.4221
i,0.1159,0.1775,0.2097
n,0.0783,0.2281,0.2658
p,0.132,1.0866,1.0328
r,0.1114,0.1,0.1206
i,0.0963,0.242,0.2571
c,0.0704,0.3783,0.4042
e,0.1005,0.2049,0.1748
a,0.1411,0.6792,0.6386
n,0.098,0.0826,0.1257
d,0.087,0.1991,0.2102
g,0.1185,0.967,0.9354
a,0.1575,0.1402,0.1012
a,0.1955,1.8729,1.8349
z,0.1229,1.7008,1.7734
r,0.1133,1.662,1.6716
e,0.1337,0.0824,0.062
s,0.1605,0.3132,0.2863
c,0.1493,0.3958,0.4071
u,0.1117,0.2299,0.2675
e,0.0933,0.2154,0.2338
a,0.1211,0.8278,0.7999
r,0.1217,1.8319,1.8313
u,0.0917,0.1981,0.2281
s,0.0713,0.3484,0.3688
s,0.0749,0.1892,0.1856
i,0.0985,0.2317,0.2082
a,0.1116,0.134,0.1209
n,0.0828,0.1901,0.2189
i,0.4738,0.9276,0.5366
n,0.1011,0.302,0.6747
f,0.1679,0.9897,0.9229
i,0.0901,0.0685,0.1464
o,0.0761,1.2366,1.2505
r,0.0947,0.3548,0.3363
m,0.1067,0.3985,0.3865
a,0.1618,0.1733,0.1182
n,0.0999,0.1525,0.2144
t,0.0882,0.2846,0.2963
n,0.1108,1.4672,1.4447
a,0.1414,0.1525,0.1218
m,0.1199,0.1289,0.1504
e,0.1095,0.1825,0.193
d,0.0727,0.3036,0.3403
N,0.0735,8.4943,8.4935
I,0.0863,0.5361,0.5233
K,0.0896,0.5864,0.5831
i,0.077,3.521,3.5336
k,0.0894,0.5421,0.5297
o,0.1102,0.2958,0.275
l,0.1224,1.9581,1.9459
a,0.1489,0.1928,0.1663
i,0.1071,0.23,0.2718
.,0.0658,1.6066,1.6479
t,0.1369,1.6211,1.55
h,0.1024,0.0703,0.1048
e,0.087,0.1664,0.1818
y,0.106,0.1255,0.1066
r,0.0505,0.4398,0.4952
s,0.1042,0.7525,0.6989
u,0.0735,0.1791,0.2097
p,0.0936,0.5804,0.5604
p,0.1113,0.1897,0.172
o,0.0928,0.1792,0.1977
r,0.0829,0.1869,0.1968
t,0.1192,0.5977,0.5614
e,0.0903,0.1569,0.1857
d,0.0822,0.1687,0.1768
b,0.1863,1.4172,1.3131
y,0.1239,0.0932,0.1556
r,3.9478,1.4313,0.1968
u,0.0805,0.5648,0.5541
s,0.091,0.2365,0.226
s,0.1133,0.2138,0.1914
i,0.0938,0.1856,0.2051
a,0.1059,0.1139,0.1018
n,0.0742,0.2368,0.2685
l,0.143,0.6971,0.6283
o,0.189,0.1515,0.1055
y,0.1041,0.7368,0.8217
a,0.1485,0.207,0.1626
l,0.243,0.7385,0.644
i,0.141,0.1223,0.2243
s,0.0924,0.1551,0.2038
t,0.1055,0.2532,0.2401
s,0.099,0.729,0.7354
l,0.1224,1.9095,1.8861
e,0.1068,0.1384,0.1541
d,0.0749,0.2345,0.2663
b,0.1661,0.7719,0.6807
y,0.1046,0.0622,0.1237
S,0.0663,1.973,2.0113
G,0.0848,0.6237,0.6052
t,0.0673,0.2188,0.2363
K,0.0821,3.8125,3.7977
a,12.0798,0.1889,0.1626
m,0.0917,1.3866,1.3981
e,0.0869,0.2352,0.2401
r,0.0882,0.2244,0.223
o,0.1015,0.7392,0.7259
v,0.0767,0.2807,0.3055
